WELL,INTERVAL,TVDSS_TOP,TVDSS_BASE,GROSS,NET,NET_TO_GROSS,PHIT_AV,SWT_AV,PERM_BASE_AM
,,METRES,METRES,METRES,METRES,M/M,V/V,V/V,MD
CASINO_1,93_LOWER WAARRE,1713.43,1892.57,179.143,11.695,0.065,0.173,0.54,91.859
CASINO_1,,1713.43,1892.57,179.143,11.695,0.065,0.173,0.54,91.859
CASINO_2,90.8_UPPER WAARRE,1722.41,1786.79,64.38,16.454,0.256,0.225,0.241,1537.285
CASINO_2,93_LOWER WAARRE,1786.79,1934.43,147.648,3.656,0.025,0.16,0.947,24.664
CASINO_2,,1722.41,1934.43,212.028,20.11,0.095,0.213,0.337,1262.269
CONAN_1,88_BASE C. STRIATOCONUM,1679.25,1692.25,13,0.128,0.01,0.129,1,0.927
CONAN_1,90.8_UPPER WAARRE,1692.25,1736.25,43.999,40.341,0.917,0.221,0.996,1269.788
CONAN_1,93_LOWER WAARRE,1736.25,1843.54,107.299,10.583,0.099,0.171,0.97,121.481
CONAN_1,,1679.25,1843.54,164.297,51.053,0.311,0.211,0.991,1028.557
ERIC_THE_RED_1,83.5_UPP THYLACINE MBR,916.99,981.29,64.298,0,0,-,-,-
ERIC_THE_RED_1,83.8_MID THYLACINE MBR,981.29,1038.79,57.499,18.01,0.313,0.263,0.941,1336.593
ERIC_THE_RED_1,86_FLAXMAN,1038.79,1131.99,93.2,16.86,0.181,0.269,0.999,1389.23
ERIC_THE_RED_1,88_BASE C. STRIATOCONUM,1131.99,1304.58,172.599,0.785,0.005,0.195,1,1770.579
ERIC_THE_RED_1,90.8_UPPER WAARRE,1304.58,1387.48,82.899,61.254,0.739,0.24,0.998,8799.494
ERIC_THE_RED_1,93_LOWER WAARRE,1387.48,1682.58,295.091,35.35,0.12,0.197,1,2374.748
ERIC_THE_RED_1,,916.99,1682.58,765.587,132.259,0.173,0.235,0.99,5079.693
GEOGRAPHE_1,83.5_UPP THYLACINE MBR,1791.38,1812.66,21.278,18.081,0.85,0.164,0.493,2.845
GEOGRAPHE_1,83.8_MID THYLACINE MBR,1812.66,1919.73,107.069,53.954,0.504,0.172,0.418,3.307
GEOGRAPHE_1,LOWER THYLACINE MBR,1919.73,1936.9,17.173,0.126,0.007,0.104,1,0.023
GEOGRAPHE_1,88_BASE C. STRIATOCONUM,1936.9,2070.05,133.146,61.021,0.458,0.189,0.427,208.337
GEOGRAPHE_1,90.8_UPPER WAARRE,2070.05,2276.05,206,162.999,0.791,0.167,0.995,62.298
GEOGRAPHE_1,93_LOWER WAARRE,2276.05,2403.61,127.56,68.528,0.537,0.146,0.998,7.808
